agent,action,message,when,insState,timestep
baseAgent1,"observed(enter(baseAgent1,room2))",,start-action,1,8
baseAgent3,"observed(enter(baseAgent3,room1))",,start-action,2,8
baseAgent4,"observed(enter(baseAgent4,room1))",,start-action,3,8
baseAgent2,"observed(enter(baseAgent2,room1))",,start-action,4,9
baseAgent8,"observed(enter(baseAgent8,room2))",,start-action,5,9
baseAgent5,"observed(enter(baseAgent5,room2))",,start-action,6,9
baseAgent7,"observed(enter(baseAgent7,room1))",,start-action,7,9
baseAgent6,"observed(enter(baseAgent6,room2))",,start-action,8,9
baseAgent1,"observed(leave(baseAgent1,room2))",complete,end-action,9,11
baseAgent3,"observed(leave(baseAgent3,room1))",complete,end-action,10,11
baseAgent4,"observed(leave(baseAgent4,room1))",complete,end-action,11,11
baseAgent2,"observed(leave(baseAgent2,room1))",problem,end-action,12,13
baseAgent7,"observed(leave(baseAgent7,room1))",problem,end-action,13,13
baseAgent6,"observed(leave(baseAgent6,room2))",problem,end-action,14,13
baseAgent8,"observed(leave(baseAgent8,room2))",complete,end-action,15,14
baseAgent5,"observed(leave(baseAgent5,room2))",problem,end-action,16,14
baseAgent1,"observed(enter(baseAgent1,room1))",,start-action,17,16
baseAgent3,"observed(enter(baseAgent3,room2))",,start-action,18,17
baseAgent4,"observed(enter(baseAgent4,room2))",,start-action,19,17
baseAgent8,"observed(enter(baseAgent8,room1))",,start-action,20,21
baseAgent1,"observed(leave(baseAgent1,room1))",complete,end-action,21,23
baseAgent4,"observed(leave(baseAgent4,room2))",complete,end-action,22,23
baseAgent7,"observed(enter(baseAgent7,room2))",,start-action,23,23
baseAgent6,"observed(enter(baseAgent6,room1))",,start-action,24,23
baseAgent3,"observed(leave(baseAgent3,room2))",complete,end-action,25,24
baseAgent2,"observed(enter(baseAgent2,room2))",,start-action,26,24
baseAgent5,"observed(enter(baseAgent5,room1))",,start-action,27,24
baseAgent8,"observed(leave(baseAgent8,room1))",complete,end-action,28,27
baseAgent6,"observed(leave(baseAgent6,room1))",complete,end-action,29,27
baseAgent5,"observed(leave(baseAgent5,room1))",problem,end-action,30,28
baseAgent2,"observed(leave(baseAgent2,room2))",complete,end-action,31,29
baseAgent7,"observed(leave(baseAgent7,room2))",complete,end-action,32,29
baseAgent6,"observed(enter(baseAgent6,room2))",,start-action,33,32
baseAgent7,"observed(enter(baseAgent7,room1))",,start-action,34,33
baseAgent2,"observed(enter(baseAgent2,room1))",,start-action,35,34
baseAgent7,"observed(leave(baseAgent7,room1))",complete,end-action,36,35
baseAgent6,"observed(leave(baseAgent6,room2))",complete,end-action,37,35
baseAgent2,"observed(leave(baseAgent2,room1))",complete,end-action,38,37
